State,Demonym
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguan and Barbudans
Argentina,Argentinean
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
The Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian and Herzegovinian
Botswana,Motswana
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,Burundian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cape Verde,Cape Verdian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Comoros,Comoran
Congo,Congo
Costa Rica,Costa Rican
Cote d'Ivoire,Ivorian
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djibouti
Dominica,Dominican
Dominican Republic,Dominican
East Timor,East Timorese
Ecuador,Ecuadorean
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,Equatoguinean
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
The Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenadian 
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Guinea-Bissauan
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelander
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakhstani
Kenya,Kenyan
Kiribati,I-Kiribati
North Korea,North Korean
South Korea,Korean
Kosovo,Kosovar
Kuwait,Kuwaiti
Kyrgyz Republic,Kirghiz
Laos,Laotian
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Mosotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourger
Macedonia,Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivan
Mali,Malian
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
Federated States of Micronesia,Micronesian
Moldova,Moldovan
Monaco,Monacan
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Myanmarese
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepalese
Netherlands,Dutch
New Zealand,New Zealander
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Pilipino
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Kittian and Nevisian
Saint Lucia,Saint Lucian
Samoa,Samoan
San Marino,Sammarinese
Sao Tome and Principe,Sao Tomean
Saudi Arabia,Saudi Arabian
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovakian
Slovenia,Slovenian
Solomon Islands,Solomon Islander
Somalia,Somali
South Africa,South African
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamer
Swaziland,Swazi
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese
Tajikistan,Tadzhik
Tanzania,Tanzanian
Thailand,Thai
Togo,Togolese
Tonga,Tongan
Trinidad and Tobago,Trinidadian and Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirian
United Kingdom,British
United States,American
Uruguay,Uruguayan
Uzbekistan,Uzbek
Vanuatu,Ni-Vanuatu
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
